Designator,Mid X,Mid Y,Rotation,Layer
C31,182.2,-82.1,0.0,top
C32,182.2,-92.2,0.0,top
C33,164.25,-116.75,-90.0,top
C34,171.75,-116.75,-90.0,top
C35,104.25,-125.5,0.0,top
C36,148.25,-113.25,-90.0,top
C37,146.5,-113.25,-90.0,top
C38,135.25,-114.0,-90.0,top
C39,137.0,-114.0,-90.0,top
C40,157.15,-98.2,90.0,top
C41,154.75,-100.85,0.0,top
C42,161.4,-91.8,180.0,top
C43,165.4,-97.9,-90.0,top
C44,118.0,-116.75,-90.0,top
C45,125.5,-116.75,-90.0,top
C46,104.25,-119.25,0.0,top
C47,127.0,-109.5,-90.0,top
C48,125.3,-109.5,-90.0,top
C49,115.5,-111.25,-90.0,top
C50,113.85,-111.25,-90.0,top
C51,157.43,-92.735,90.0,top
C52,154.7,-95.55,0.0,top
C53,161.4,-90.1,180.0,top
C54,161.4,-95.2,180.0,top
C55,191.5,-116.75,-90.0,top
C56,199.0,-116.75,-90.0,top
C57,104.25,-113.25,0.0,top
C58,207.75,-108.75,-90.0,top
C59,206.0,-108.75,-90.0,top
C60,194.75,-109.25,-90.0,top
C61,196.5,-109.25,-90.0,top
C62,181.75,-96.6,-90.0,top
C63,185.0,-99.54,0.0,top
C64,168.8,-97.9,-90.0,top
C65,182.2,-90.5,0.0,top
C66,106.6,-95.8,180.0,top
C67,103.25,-98.975,0.0,top
C68,106.25,-104.0,0.0,top
C69,114.0,-89.75,0.0,top
C70,114.0,-87.25,0.0,top
C71,114.25,-98.0,0.0,top
C72,124.8,-88.0,180.0,top
C73,141.65,-98.5,90.0,top
C74,144.4,-101.25,0.0,top
C75,131.05,-93.8,180.0,top
C76,131.05,-96.05,180.0,top
C77,131.0,-98.3,180.0,top
C78,134.15,-98.25,90.0,top
C79,136.9,-101.25,0.0,top
C80,123.85,-94.4,-90.0,top
C81,138.8,-94.7,180.0,top
C82,182.2,-85.5,0.0,top
C83,182.7,-103.7,-90.0,top
C84,168.55,-103.75,-90.0,top
C85,161.5,-103.75,-90.0,top
C86,166.75,-103.75,-90.0,top
C87,182.2,-87.2,0.0,top
C88,163.7,-97.9,-90.0,top
C89,172.1,-97.9,-90.0,top
C90,170.45,-97.9,-90.0,top
C91,164.7,-84.11,0.0,top
C92,164.7,-82.61,0.0,top
C93,173.8,-97.9,-90.0,top
C94,175.8,-98.11,-90.0,top
C95,179.5,-95.0,-90.0,top
C96,168.2,-81.36,0.0,top
C97,177.5,-83.5,0.0,top
C98,177.5,-94.8,-90.0,top
D31,141.75,-109.25,180.0,top
D32,124.25,-105.5,180.0,top
D33,207.25,-114.25,-90.0,top
D34,114.25,-103.0,0.0,top
D35,114.25,-92.75,0.0,top
D36,162.5,-77.0,-90.0,top
D37,126.8,-85.3,0.0,top
D38,127.05,-96.3,-90.0,top
D39,158.5,-77.0,-90.0,top
D40,137.75,-83.25,90.0,top
D41,166.25,-77.0,-90.0,top
D42,169.75,-77.0,-90.0,top
D43,173.5,-77.0,-90.0,top
FB31,119.8,-102.8,-90.0,top
FB32,139.9,-98.5,90.0,top
FB33,141.15,-101.25,180.0,top
J32,109.75,-77.7,0.0,top
J34,161.0,-107.7,0.0,top
J36,184.25,-107.7,0.0,top
J38,146.25,-77.7,0.0,top
J40,123.5,-77.75,0.0,top
J41,134.75,-77.7,0.0,top
J42,198.55,-86.0,90.0,top
J43,181.8,-76.875,-90.0,top
L31,106.25,-90.25,90.0,top
L32,129.325849,-90.172304,0.0,top
Q31,144.5,-124.35,-90.0,top
Q32,151.0,-124.35,-90.0,top
Q33,170.75,-124.35,-90.0,top
Q34,164.25,-124.35,-90.0,top
Q35,131.5,-124.35,-90.0,top
Q36,138.0,-124.35,-90.0,top
Q37,118.5,-124.35,-90.0,top
Q38,125.0,-124.35,-90.0,top
Q39,177.25,-124.35,-90.0,top
Q40,183.75,-124.35,-90.0,top
Q41,190.25,-124.35,-90.0,top
Q42,196.75,-124.35,-90.0,top
R31,182.2,-83.8,180.0,top
R32,159.25,-113.75,180.0,top
R33,159.25,-112.0,0.0,top
R34,156.45,-118.05,0.0,top
R35,142.5,-118.5,90.0,top
R36,149.0,-118.5,90.0,top
R37,151.75,-116.4625,-90.0,top
R38,168.0,-119.0,90.0,top
R39,160.25,-118.575,90.0,top
R40,146.5,-118.5,90.0,top
R41,158.0,-95.55,0.0,top
R42,167.1,-97.9,-90.0,top
R43,129.25,-119.0,90.0,top
R44,136.0,-118.5,90.0,top
R45,132.0,-116.5,-90.0,top
R46,114.25,-119.0,90.0,top
R47,121.75,-119.0,90.0,top
R48,140.0,-118.5,90.0,top
R49,158.13,-90.035,0.0,top
R50,161.4,-93.5,180.0,top
R51,175.5,-118.5,90.0,top
R52,181.5,-118.5,90.0,top
R53,178.25,-116.5,-90.0,top
R54,187.5,-118.5,90.0,top
R55,195.25,-119.0,90.0,top
R56,185.75,-118.5,90.0,top
R57,181.6,-99.54,180.0,top
R58,182.2,-88.8,0.0,top
R59,109.5,-97.75,90.0,top
R60,110.0,-83.75,180.0,top
R61,160.5,-77.0,-90.0,top
R62,103.25,-100.725,180.0,top
R63,103.4,-95.8,0.0,top
R64,103.25,-102.475,180.0,top
R65,120.647304,-87.972304,0.0,top
R66,156.75,-77.0,90.0,top
R67,120.622304,-89.722304,180.0,top
R68,158.0,-103.75,-90.0,top
R69,163.25,-103.75,-90.0,top
R70,172.0,-103.75,-90.0,top
R71,184.5,-103.75,-90.0,top
R72,190.0,-103.75,90.0,top
R73,159.75,-103.75,-90.0,top
R74,165.0,-103.75,-90.0,top
R75,170.25,-103.75,-90.0,top
R76,186.25,-103.75,-90.0,top
R77,135.15,-87.525,90.0,top
R78,188.25,-103.75,-90.0,top
R79,140.75,-82.75,90.0,top
R80,146.5,-82.75,90.0,top
R81,186.5,-82.75,-90.0,top
R82,188.25,-82.75,-90.0,top
R83,148.25,-82.75,90.0,top
R84,150.25,-82.75,90.0,top
R85,152.0,-82.75,90.0,top
R86,153.75,-82.75,-90.0,top
R87,164.5,-77.0,-90.0,top
R88,168.0,-77.0,-90.0,top
R89,171.5,-77.0,-90.0,top
U31,186.5,-77.7,0.0,top
